номер,город,население
1,Ворошиловград,496813
2,Александровск,7725
3,Счастье,13338
4,Антрацит,71655
5,Брянка,64816
6,Кировск,41334
7,Коммунарск,125502
8,Краснодон,52885
9,Молодогвардейск,31766
10,Суходольск,28382
11,Красный Луч,113278
12,Вахрушево,18162
13,Миусинск,7828
14,Петровское,16664
15,Лисичанск,126503
16,Новодружеск,11167
17,Приволье,11479
18,Первомайск,51025
19,Горское,13559
20,Золотое,22892
21,Ровеньки,67989
22,Рубежное,74078
23,Свердловск,82809
24,Червонопартизанск,20050
25,Северодонецк,131376
26,Стаханов,112023
27,Алмазная,7487
28,Теплогорск,18549
29,Великий Лог,757
30,Кременная,27686
31,Лутугино,18973
32,Перевальск,31989
33,Артемовск,11594
34,Зоринск,9776
35,Попасная,30257
36,Сватово,21625
37,Зимогорье,12710
38,Старобельск,25053
39,Днепропетровск,1177897
40,Днепродзержинск,281925
41,Желтые Воды,61690
42,Кривой Рог,713059
43,Ингулец,38044
44,Марганец,54391
45,Никополь,157608
46,Новомосковск,75608
47,Орджоникидзе,45806
48,Павлоград,131414
49,Першотравенск,28068
50,Терновка,33528
51,Синельниково,37807
52,Апостолово,18093
53,Верхнеднепровск,22708
54,Верховцево,11246
55,Вольногорск,24620
56,Подгородное,19219
57,Пятихатки,21135
58,Донецк,1109102
59,Моспино,13494
60,Артемовск,90279
61,Карло-Либкнехтовск,12305
62,Часов Яр,19804
63,Горловка,338106
64,Дебальцево,35511
65,Дзержинск,50538
66,Артемово,7627
67,Доброполье,40064
68,Белицкое,11591
69,Белозерское,21079
70,Дружковка,73723
71,Енакиево,120332
72,Углегорск,12570
73,Юнокоммунаровск,20743
74,Кировское,32552
75,Ждановка,14433
76,Константиновка,107562
77,Краматорск,198094
78,Красноармейск,72859
79,Димитров,63254
80,Родинское,15212
81,Красный Лиман,31192
82,Макеевка,430201
83,Мариуполь,518933
84,Селидово,29831
85,Горняк,16203
86,Новогродовка,19429
87,Украинск,15597
88,Славянск,135300
89,Славяногорск,5789
90,Снежное,68857
91,Торез,88049
92,Харцызск,67916
93,Зугрэс,23339
94,Иловайск,21076
95,Шахтерск,73854
96,Ясиноватая,39354
97,Авдеевка,39833
98,Амвросиевка,23951
99,Северск,14019
100,Волноваха,26371
101,Докучаевск,26038
102,Марьинка,10944
103,Красногоровка,18892
104,Курахово,22155
105,Новоазовск,12988
106,Комсомольское,14112
107,Запорожье,883909
108,Бердянск,132644
109,Мелитополь,173385
110,Токмак,45112
111,Молочанск,9096
112,Энергодар,47100
113,Васильевка,16325
114,Днепрорудное,22773
115,Вольнянск,17566
116,Гуляйполе,19198
117,Каменка-Днепровская,17906
118,Орехов,21253
119,Пологи,25336
120,Приморск,13965
121,Кировоград,269803
122,Александрия,102611
123,Знаменка,33828
124,Светловодск,55591
125,Бобринец,12869
126,Гайворон,16520
127,Помошная,12322
128,Долинская,19230
129,Малая Виска,14645
130,Новомиргород,16349
131,Новоукраинка(рц),20675
132,Ульяновка,10648
133,Полтава,314740
134,Комсомольск,51645
135,Кременчуг,236495
136,Лубны,59478
137,Миргород,46663
138,Гадяч,24375
139,Глобино,13717
140,Гребенка,13555
141,Зеньков,11244
142,Карловка,20059
143,Кобеляки,12975
144,Лохвица,13549
145,Червонозаводское,10076
146,Пирятин,18119
147,Хорол,16492
148,Сумы,291264
149,Ахтырка,50726
150,Глухов,35869
151,Конотоп,95549
152,Ромны,57051
