респонд;продукт1;продукт2;продукт3;продукт4;уровень
1;50;33;14;2;1
2;64;28;56;22;3
3;65;28;46;15;2
4;67;31;56;24;3
5;63;28;51;15;3
6;46;34;14;3;1
7;69;31;51;23;3
8;62;22;45;15;2
9;59;32;48;18;2
10;46;36;10;2;1
11;61;30;46;14;2
12;60;27;51;16;2
13;65;30;52;20;3
14;56;25;39;11;2
15;65;30;55;18;3
16;58;27;51;19;3
17;68;32;59;23;3
18;51;33;17;5;1
19;57;28;45;13;2
20;62;34;54;23;3
21;77;38;67;22;3
22;63;33;47;16;2
23;67;33;57;25;3
24;76;30;66;21;3
25;49;25;45;17;3
26;55;35;13;2;1
27;67;30;52;23;3
28;70;32;47;14;2
29;64;32;45;15;2
30;61;28;40;13;2
31;48;31;16;2;1
32;59;30;51;18;3
33;55;24;38;11;2
34;63;25;50;19;3
35;64;32;53;23;3
36;52;34;14;2;1
37;49;36;14;1;1
38;54;30;45;15;2
39;79;38;64;20;3
40;44;32;13;2;1
41;67;33;57;21;3
42;50;35;16;6;1
43;58;26;40;12;2
44;44;30;13;2;1
45;77;28;67;20;3
46;63;27;49;18;3
47;47;32;16;2;1
48;55;26;44;12;2
49;72;32;60;18;3
50;48;30;14;3;1
51;51;38;16;2;1
52;61;30;49;18;3
53;48;34;19;2;1
54;50;30;16;2;1
55;50;32;12;2;1
56;61;26;56;14;3
57;64;28;56;21;3
58;43;30;11;1;1
59;58;40;12;2;1
60;51;38;19;4;1
61;67;31;44;14;2
62;62;28;48;18;3
63;49;30;14;2;1
64;51;35;14;2;1
65;56;30;45;15;2
66;58;27;41;10;2
67;50;34;16;4;1
68;46;32;14;2;1
69;60;29;45;15;2
70;57;26;35;10;2
71;57;44;15;4;1
72;50;36;14;2;1
73;77;30;61;23;3
74;63;34;56;24;3
75;58;27;51;19;3
76;57;29;42;13;2
77;72;30;58;16;3
78;54;34;15;4;1
79;52;41;15;1;1
80;71;30;59;21;3
81;64;31;55;18;3
82;60;30;48;18;3
83;63;29;56;18;3
84;49;24;33;10;2
85;56;27;42;13;2
86;57;30;42;12;2
87;55;42;14;2;1
88;49;31;15;2;1
89;77;26;69;23;3
90;60;22;50;15;3
91;54;39;17;4;1
92;66;29;46;13;2
93;52;27;39;14;2
94;60;34;45;16;2
95;50;34;15;2;1
96;44;29;14;2;1
97;50;20;35;10;2
98;55;24;37;10;2
99;58;27;39;12;2
100;47;32;13;2;1
101;46;31;15;2;1
102;69;32;57;23;3
103;62;29;43;13;2
104;74;28;61;19;3
105;59;30;42;15;2
106;51;34;15;2;1
107;50;35;13;3;1
108;56;28;49;20;3
109;60;22;40;10;2
110;73;29;63;18;3
111;67;25;58;18;3
112;49;31;15;1;1
113;67;31;47;15;2
114;63;23;44;13;2
115;54;37;15;2;1
116;56;30;41;13;2
117;63;25;49;15;2
118;61;28;47;12;2
119;64;29;43;13;2
120;51;25;30;11;2
121;57;28;41;13;2
122;65;30;58;22;3
123;69;31;54;21;3
124;54;39;13;4;1
125;51;35;14;3;1
126;72;36;61;25;3
127;65;32;51;20;3
128;61;29;47;14;2
129;56;29;36;13;2
130;69;31;49;15;2
131;64;27;53;19;3
132;68;30;55;21;3
133;55;25;40;13;2
134;48;34;16;2;1
135;48;30;14;1;1
136;45;23;13;3;1
137;57;25;50;20;3
138;57;38;17;3;1
139;51;38;15;3;1
140;55;23;40;13;2
141;66;30;44;14;2
142;68;28;48;14;2
143;54;34;17;2;1
144;51;37;15;4;1
145;52;35;15;2;1
146;58;28;51;24;3
147;67;30;50;17;2
148;63;33;60;25;3
149;53;37;15;2;1
150;50;23;33;10;2
